channel_name,total_subscribers,total_views,total_videos,Average_view,units_sold_per_video,revenue_per_video,net_profit,net_profit_by_subscribers,netprofit_by_total_vidoes
ARPO The Robot,7650000,3223103910,1315,2451030.0,49020.6,98041.2,88041.2,296000.0,-9947.4
24 News HD,7710000,3392912536,165103,20550.0,411.0,822.0,-9178.0,298400.0,-3395.88
RubyandBonnie,8840000,5084401378,616,8253898.0,165077.96,330155.92,320155.92,343600.0,-9975.36
Nickelodeon UK,6930000,7353008393,3248,2263857.0,45277.14,90554.28,80554.28,267200.0,-9870.08
Mark Ronson,6860000,6455750214,20,322787511.0,6455750.22,12911500.44,12901500.44,264400.0,-9999.2
Rhia Official,12300000,5714143049,887,6442100.0,128842.0,257684.0,247684.0,482000.0,-9964.52
UKF Dubstep,6250000,2120845799,1705,1243898.0,24877.96,49755.92,39755.92,240000.0,-9931.8
TGFbro,6170000,1459575959,472,3092322.0,61846.44,123692.88,113692.88,236800.0,-9981.12
Wilbur Soot,5930000,795362967,139,5722036.0,114440.72,228881.44,218881.44,227200.0,-9994.44
Russell Brand,6790000,1263346060,2674,472456.0,9449.12,18898.24,8898.240000000002,261600.0,-9893.04
Manchester United,8790000,2087630130,3985,523872.0,10477.44,20954.88,10954.880000000001,341600.0,-9840.6
Pingu - Official Channel,6870000,2788693613,621,4490650.0,89813.0,179626.0,169626.0,264800.0,-9975.16
Mrwhosetheboss Shorts,7100000,3722844989,186,20015296.0,400305.92,800611.84,790611.84,274000.0,-9992.56
Niko Omilana,7420000,615213451,141,4363216.0,87264.32,174528.64,164528.64,286800.0,-9994.36
Tiana2,5880000,1641887399,429,3827243.0,76544.86,153089.72,143089.72,225200.0,-9982.84
Capital FM,6130000,3537766055,2542,1391725.0,27834.5,55669.0,45669.0,235200.0,-9898.32
Simon's Cat,6210000,1573852796,474,3320365.0,66407.3,132814.6,122814.6,238400.0,-9981.04
CGP Grey,6230000,1009114880,189,5339232.0,106784.64,213569.28,203569.28,239200.0,-9992.44
Jamie Oliver,5920000,955104654,2102,454379.0,9087.58,18175.16,8175.16,226800.0,-9915.92
ChrisMD,6020000,1552058910,509,3049232.0,60984.64,121969.28,111969.28,230800.0,-9979.64
Dumori Bay,5360000,1127304,225,5010.0,100.2,200.4,-9799.6,204400.0,-9991.0
Space Videos,5660000,112834302,132,854805.0,17096.1,34192.2,24192.199999999997,216400.0,-9994.72
Real Stories,6270000,1171415638,1150,1018622.0,20372.44,40744.88,30744.879999999997,240800.0,-9954.0
More Emily,5300000,1480033526,634,2334438.0,46688.76,93377.52,83377.52,202000.0,-9974.64
GRM Daily,6290000,7458604091,14696,507526.0,10150.52,20301.04,10301.04,241600.0,-9412.16
Joe Weller,5290000,1022107519,323,3164420.0,63288.4,126576.8,116576.8,201600.0,-9987.08
WildBrain Kids,8320000,4030017406,4979,809403.0,16188.06,32376.12,22376.12,322800.0,-9800.84
Sky News,7540000,4282633039,46009,93083.0,1861.66,3723.32,-6276.68,291600.0,-8159.639999999999
Jarvis,5680000,1694450677,706,2400072.0,48001.44,96002.88,86002.88,217200.0,-9971.76
Thoughty2,5380000,1036594331,805,1287695.0,25753.9,51507.8,41507.8,205200.0,-9967.8
TheDadLab,5200000,2933744679,830,3534632.0,70692.64,141385.28,131385.28,198000.0,-9966.8
Behzinga,4960000,579732195,872,664830.0,13296.6,26593.2,16593.2,188400.0,-9965.12
BBC Learning English,6370000,331037103,3576,92572.0,1851.44,3702.88,-6297.12,244800.0,-9856.96
Max and Katy,4740000,1316802359,506,2602376.0,52047.520000000004,104095.04000000001,94095.04000000001,179600.0,-9979.76
Man City,7180000,1961234060,8248,237783.0,4755.66,9511.32,-488.6800000000003,277200.0,-9670.08
Wisp,5180000,1068272135,513,2082402.0,41648.04,83296.08,73296.08,197200.0,-9979.48
WillNE,5030000,852896342,305,2796381.0,55927.62,111855.24,101855.24,191200.0,-9987.8
Zerkaa,4710000,847855843,1998,424352.0,8487.04,16974.08,6974.080000000002,178400.0,-9920.08
Ben Phillips,4550000,1270551080,858,1480829.0,29616.58,59233.16,49233.16,172000.0,-9965.68
Roxxsaurus,4580000,539030412,933,577739.0,11554.78,23109.56,13109.560000000001,173200.0,-9962.68
